idmng,hh_trimestre,superviseur,dr,cons,num_men,statut,tirage,ech_adresse,nb_eligible,completude_menage
0143011100760004008,2025T1,SP0101,014301110076,00040,08,Non affecté,Remplaçant,PARCELLE ASSAINIE U.UPT7d8f2223-a6c5-42ed-a1de-2a15c5effe59,,
0332020509660009101,2025T1,SP0103,033202050966,00091,01,Non affecté,Remplaçant,0,,
1232030100140005601,2025T1,SP0105,123203010014,00056,01,Non affecté,Remplaçant,TOUBA DIOULMACK,,
0922010300010000901,2025T1,SP0104,092201030001,00009,01,Non affecté,Remplaçant,NDOFFANE NDARY,,
0231010000920004906,2025T1,SP0116,023101000092,00049,06,Non affecté,Remplaçant,BOUCOTTE OUEST,,
1011010000980002201,2025T1,SP0108,101101000098,00022,01,Non affecté,Tiré,HILELE,,
1012020100220003201,2025T1,SP0108,101202010022,00032,01,Non affecté,Remplaçant,BAGADADJI,,
0422010100140001303,2025T1,SP0111,042201010014,00013,03,Non affecté,Remplaçant,A DROITE,,
0332020502190005301,2025T1,SP0103,033202050219,00053,01,Non affecté,Remplaçant,TYNDODY,,
0331010000850009601,2025T1,SP0103,033101000085,00096,01,Non affecté,Remplaçant,MBACKE NDIMBE,,
0612020200120001501,2025T1,SP0106,061202020012,00015,01,Non affecté,Remplaçant,GADIO,,
1431010000130005201,2025T1,SP0112,143101000013,00052,01,Non affecté,Remplaçant,À DROITE,,
0132020301890016801,2025T1,SP0102,013202030189,00168,01,Non affecté,Remplaçant,NIAGA PEULH         UPT987a2211-a25d-4e13-a055-bf1c053338fc,,
1032030300220006201,2025T1,SP0108,103203030022,00062,01,Non affecté,Remplaçant,NDIORENE,,
0922030300130003401,2025T1,SP0104,092203030013,00034,01,Non affecté,Remplaçant,NDRAME SADIABOU,,
0231010001800002004,2025T1,SP0116,023101000180,00020,04,Non affecté,Remplaçant,A GAUCHE,,
1232010100200002002,2025T1,SP0105,123201010020,00020,02,Non affecté,Remplaçant,AU FOND,,
0712030200490007901,2025T1,SP0115,071203020049,00079,01,Non affecté,Remplaçant,TCHIKY,,
0421020000220007401,2025T1,SP0111,042102000022,00074,01,Non affecté,Remplaçant,DAROU SALAM,,
0132020100620004201,2025T1,SP0102,013202010062,00042,01,Non affecté,Remplaçant,DENY BIRAME NDAO SUD,,
0611020000050009202,2025T1,SP0106,061102000005,00092,02,Non affecté,Remplaçant,KANDA FODE BAYO,,
0822030200140002101,2025T1,SP0109,082203020014,00021,01,Non affecté,Remplaçant,TOUTE LA CONCESSION,,
043101000164N000101,2025T1,SP0111,043101000164,N0001,01,Non affecté,Tiré,PIKINE 700          UPTd79d057b-7c4d-4e39-8885-e7d50adaf797,,
0432010400040009601,2025T1,SP0111,043201040004,00096,01,Non affecté,Remplaçant,THIALENE            UPT44003e33-6457-457c-ae50-7ab79c73f92f,,
0231010000480002301,2025T1,SP0116,023101000048,00023,01,Non affecté,Remplaçant,FACE,,
0612030100060007201,2025T1,SP0106,061203010006,00072,01,Non affecté,Remplaçant,SAGNE BAMBARA,,
1422030100190005201,2025T1,SP0112,142203010019,00052,01,Non affecté,Remplaçant,APPARTEMENT SITUÉ À GAUCHE,,
0922010300010002501,2025T1,SP0104,092201030001,00025,01,Non affecté,Remplaçant,NDOFFANE NDARY,,
0113012200030002930,2025T1,SP0101,011301220003,00029,30,Non affecté,Remplaçant,A L'ENTRÉE          UPTf78f502d-d456-460d-b06a-22709deed984,,
0912030100010004102,2025T1,SP0104,091203010001,00041,02,Non affecté,Remplaçant,À GAUCHE,,
0922030100200002901,2025T1,SP0104,092203010020,00029,01,Non affecté,Remplaçant,KEUR SALOUM DIANE,,
1412010400080003401,2025T1,SP0112,141201040008,00034,01,Non affecté,Remplaçant,SOUCOUTOTO (SEFA SOUCOUTOTO),,
0522020100580001101,2025T1,SP0113,052202010058,00011,01,Non affecté,Remplaçant,DANS LA CONCESSION,,
1432010400050006101,2025T1,SP0112,143201040005,00061,01,Non affecté,Remplaçant,BÂTIMENT ADROITE,,
1021010000170010001,2025T1,SP0108,102101000017,00100,01,Non affecté,Remplaçant,SINTHING HOULATA,,
0512020200060001101,2025T1,SP0113,051202020006,00011,01,Non affecté,Remplaçant,SEOUDJI,,
0152010101170014001,2025T1,SP0102,015201010117,00140,01,Non affecté,Remplaçant,COMICO IV,,
0332020500020005601,2025T1,SP0103,033202050002,00056,01,Non affecté,Remplaçant,TOUBA MOSQUEE,,
1032030200170000601,2025T1,SP0108,103203020017,00006,01,Non affecté,Remplaçant,DRTE,,
1431010000130002901,2025T1,SP0112,143101000013,00029,01,Non affecté,Remplaçant,À GAUCHE,,
1011010000570003701,2025T1,SP0108,101101000057,00037,01,Non affecté,Remplaçant,DROITE,,
0231010000120002301,2025T1,SP0116,023101000012,00023,01,Non affecté,Remplaçant,DROITE,,
0722030300070012501,2025T1,SP0114,072203030007,00125,01,Non affecté,Remplaçant,EN FACE,,
0312020400250004901,2025T1,SP0103,031202040025,00049,01,Non affecté,Remplaçant,MBAFAYE,,
1122010500080004101,2025T1,SP0110,112201050008,00041,01,Non affecté,Remplaçant,CITE POSTE,,
0212030100060010503,2025T1,SP0116,021203010006,00105,03,Non affecté,Remplaçant,ENTREE A DROITE,,
0822040200210003701,2025T1,SP0109,082204020021,00037,01,Non affecté,Remplaçant,DEALY,,
0411010000080008801,2025T1,SP0111,041101000008,00088,01,Non affecté,Tiré,SECTEURIII,,
0722010200190000103,2025T1,SP0114,072201020019,00001,03,Non affecté,Remplaçant,H1 THIANGAYE,,
0411010000080010001,2025T1,SP0111,041101000008,00100,01,Non affecté,Tiré,SECTEURIII,,
0542010300220003301,2025T1,SP0113,054201030022,00033,01,Non affecté,Remplaçant,GALLE,,
0712030200470000201,2025T1,SP0115,071203020047,00002,01,Non affecté,Remplaçant,BANDIA MBAMBARA,,
0411010000080001501,2025T1,SP0111,041101000008,00015,01,Non affecté,Tiré,ENTRÉE,,
0152020200460002701,2025T1,SP0102,015202020046,00027,01,Non affecté,Remplaçant,TOUTE LA CONCESSION UPT4cdd1561-3d68-4751-b4ea-543c930e5947,,
1432010400050004501,2025T1,SP0112,143201040005,00045,01,Non affecté,Remplaçant,TERRIMBASSE  BALANTE,,
0212040200050005501,2025T1,SP0116,021204020005,00055,01,Non affecté,Tiré,KAILO,,
0521010001150006301,2025T1,SP0113,052101000115,00063,01,Non affecté,Remplaçant,ABATTOIRS CMP,,
0231010000480007801,2025T1,SP0116,023101000048,00078,01,Non affecté,Remplaçant,FACE,,
0611010001300009601,2025T1,SP0106,061101000130,00096,01,Non affecté,Remplaçant,TOUBA KAOLACK,,
1222020200250003001,2025T1,SP0105,122202020025,00030,01,Non affecté,Remplaçant,KEUR SEYDOU BA,,
1312010200270001801,2025T1,SP0107,131201020027,00018,01,Non affecté,Remplaçant,DANS LA CONCESSION,,
0212010400060006101,2025T1,SP0116,021201040006,00061,01,Non affecté,Remplaçant,UNIQUE,,
0912020100190004502,2025T1,SP0104,091202010019,00045,02,Non affecté,Remplaçant,DERRIERE ECOLE ELEMENTAIRE,,
0143011100760002227,2025T1,SP0101,014301110076,00022,27,Non affecté,Remplaçant,PARCELLE U.5        UPT4ae26730-5119-4810-9820-83fab75a05b3,,
0123012300500003202,2025T1,SP0102,012301230050,00032,02,Non affecté,Remplaçant,RC,,
1012020100220010101,2025T1,SP0108,101202010022,00101,01,Non affecté,Remplaçant,BAGADADJI,,
0711020001210001701,2025T1,SP0115,071102000121,00017,01,Non affecté,Remplaçant,11 NOVEMBRE,,
0152030100450005501,2025T1,SP0102,015203010045,00055,01,Non affecté,Remplaçant,A L ENTREE          UPTbe8b2ea9-b265-462c-9422-1affe4e96457,,
0922010600010007501,2025T1,SP0104,092201060001,00075,01,Non affecté,Remplaçant,DIAMAGUENE,,
0521010000490005301,2025T1,SP0113,052101000049,00053,01,Non affecté,Remplaçant,GOUREL DIADIE,,
0123012300500001302,2025T1,SP0102,012301230050,00013,02,Non affecté,Remplaçant,PREMIÈRE ETAGE À DROITE,,
1411010000190006701,2025T1,SP0112,141101000019,00067,01,Non affecté,Remplaçant,JUSTE À L'ENTRÉ,,
0152020200460000602,2025T1,SP0102,015202020046,00006,02,Non affecté,Tiré,A  GAUCHE           UPTf4b863c4-8349-49cc-9d83-05bec4810f53,,
1232010100200000603,2025T1,SP0105,123201010020,00006,03,Non affecté,Remplaçant,WOYE BOURE NDOMENE,,
0133011200850010405,2025T1,SP0102,013301120085,00104,05,Non affecté,Remplaçant,ARRAFATII,,
1022030500080008301,2025T1,SP0108,102203050008,00083,01,Non affecté,Tiré,DIALICOUNDA,,
0712030200460005001,2025T1,SP0115,071203020046,00050,01,Non affecté,Remplaçant,BANDIA SESSENE,,
0542020400430001901,2025T1,SP0113,054202040043,00019,01,Non affecté,Remplaçant,NULL,,
1412030100240001401,2025T1,SP0112,141203010024,00014,01,Non affecté,Remplaçant,À GAUCHE,,
0133011100280001601,2025T1,SP0102,013301110028,00016,01,Non affecté,Remplaçant,RDC                 UPTf7479cad-f891-44e7-b145-58ad19ee9e82,,
0231010002200005301,2025T1,SP0116,023101000220,00053,01,Non affecté,Remplaçant,KANDE SIBINK,,
1321010000030007202,2025T1,SP0107,132101000003,00072,02,Non affecté,Remplaçant,COULOUBA            UPT3fbe7d21-e9c3-4454-bfad-f5f4fa9f7459,,
0431010000560003601,2025T1,SP0111,043101000056,00036,01,Non affecté,Tiré,HYDROBASE           UPTb459028e-6efe-4a7f-be8f-eee9fb325446,,
0212040200050005002,2025T1,SP0116,021204020005,00050,02,Non affecté,Tiré,NULL,,
0113014400590004104,2025T1,SP0101,011301440059,00041,04,Non affecté,Remplaçant,RDC A DROITE 1 ER PORTE,,
0922030100200003901,2025T1,SP0104,092203010020,00039,01,Non affecté,Remplaçant,KEUR SALOUM DIANE,,
0212040200050002401,2025T1,SP0116,021204020005,00024,01,Non affecté,Tiré,BOKO,,
0541010000150003105,2025T1,SP0113,054101000015,00031,05,Non affecté,Remplaçant,ESCALE1,,
1032010200170003801,2025T1,SP0108,103201020017,00038,01,Non affecté,Remplaçant,VERS LE SUD DU VILLAGE,,
1112020100040005001,2025T1,SP0110,111202010004,00050,01,Non affecté,Remplaçant,GAOL,,
0123013501620008001,2025T1,SP0102,012301350162,00080,01,Non affecté,Remplaçant,MBAO CONCORDE ( KEUR MBAYE FALL),,
0332020506230015501,2025T1,SP0103,033202050623,00155,01,Non affecté,Remplaçant,DAROU SALAM,,
0422040200380005804,2025T1,SP0111,042204020038,00058,04,Non affecté,Tiré,NAMARDE,,
101202060009N000701,2025T1,SP0108,101202060009,N0007,01,Non affecté,Tiré,GOROL,,
1242020200180004201,2025T1,SP0105,124202020018,00042,01,Non affecté,Remplaçant,RAS,,
0611010000270002508,2025T1,SP0106,061101000027,00025,08,Non affecté,Remplaçant,DIAMAGUENE II,,
0622010200240001102,2025T1,SP0106,062201020024,00011,02,Non affecté,Remplaçant,THIAMINE SANGHAP,,
1022030300010007201,2025T1,SP0108,102203030001,00072,01,Non affecté,Remplaçant,SINTHIANG DIOLA,,
0123013501580003204,2025T1,SP0102,012301350158,00032,04,Non affecté,Remplaçant,1E,,
1432030500060011601,2025T1,SP0112,143203050006,00116,01,Non affecté,Remplaçant,1er CHAMBRE À DROITE ET 3e AU MILIEU,,
102201030044N000102,2025T1,SP0108,102201030044,N0001,02,Non affecté,Remplaçant,CHARAP,,
0822010400030006301,2025T1,SP0109,082201040003,00063,01,Non affecté,Remplaçant,TOUTE LA CONCESSION,,
0812030400130007701,2025T1,SP0109,081203040013,00077,01,Non affecté,Remplaçant,JUSTE A GAUCHE      UPT2ec594a4-5a2f-4b75-9b45-5d3d69799502,,
0512020100010002001,2025T1,SP0113,051202010001,00020,01,Non affecté,Remplaçant,BIYABOUGOU MOSSI,,
0542010200190001402,2025T1,SP0113,054201020019,00014,02,Non affecté,Remplaçant,KANTA,,
0922030300130004801,2025T1,SP0104,092203030013,00048,01,Non affecté,Remplaçant,NDRAME SADIABOU,,
0212040200050004601,2025T1,SP0116,021204020005,00046,01,Non affecté,Tiré,MÉNAGE UNIQUE,,
0932010200110002401,2025T1,SP0104,093201020011,00024,01,Non affecté,Remplaçant,NULL,,
0821010000180005401,2025T1,SP0109,082101000018,00054,01,Non affecté,Remplaçant,TOUTE LA CONCESSION,,
0212040200420016101,2025T1,SP0116,021204020042,00161,01,Non affecté,Remplaçant,MÉNAGE UNIQUE,,
1112020200050003301,2025T1,SP0110,111202020005,00033,01,Non affecté,Remplaçant,DIENGA,,
0422020100320005501,2025T1,SP0111,042202010032,00055,01,Non affecté,Remplaçant,KARAWOYNDOU,,
0611010001350006201,2025T1,SP0106,061101000135,00062,01,Non affecté,Remplaçant,NGANE ALASSANE,,
1022030500080007701,2025T1,SP0108,102203050008,00077,01,Non affecté,Remplaçant,RAS,,
1212010300010001801,2025T1,SP0105,121201030001,00018,01,Non affecté,Remplaçant,H1 THIALENE,,
1032030300220000901,2025T1,SP0108,103203030022,00009,01,Non affecté,Remplaçant,MBANE,,
1422010500050002301,2025T1,SP0112,142201050005,00023,01,Non affecté,Remplaçant,À GAUCHE,,
0231010001430006501,2025T1,SP0116,023101000143,00065,01,Non affecté,Remplaçant,NEMA,,
0211010000010000806,2025T1,SP0116,021101000001,00008,06,Non affecté,Remplaçant,MEDINA PLATEAU,,
1231010000040012003,2025T1,SP0105,123101000004,00120,03,Non affecté,Remplaçant,ESCALE,,
0331010000850002201,2025T1,SP0103,033101000085,00022,01,Non affecté,Remplaçant,NULL,,
0821010000180011801,2025T1,SP0109,082101000018,00118,01,Non affecté,Remplaçant,TOUTE LA CONCESSION,,
0143012301080015401,2025T1,SP0101,014301230108,00154,01,Non affecté,Remplaçant,MAISON              UPT94b8dd04-5de4-40ec-8a75-b590595a87b4,,
0512020300110013601,2025T1,SP0113,051202030011,00136,01,Non affecté,Remplaçant,ABATTOIRS,,
0222010100070003211,2025T1,SP0116,022201010007,00032,11,Non affecté,Remplaçant,1ERE HABITATION APPARTEMENT 2,,
0522030200490000901,2025T1,SP0113,052203020049,00009,01,Non affecté,Remplaçant,EN FACE,,
0831010000970012201,2025T1,SP0109,083101000097,00122,01,Non affecté,Remplaçant,TOUTE LA CONCESSION,,
0231010000120007101,2025T1,SP0116,023101000012,00071,01,Non affecté,Remplaçant,DROITE,,
0212030100060006401,2025T1,SP0116,021203010006,00064,01,Non affecté,Remplaçant,COUBANAO BAH,,
0511010000010012801,2025T1,SP0113,051101000001,00128,01,Non affecté,Remplaçant,YAGUINE,,
0332020300010006701,2025T1,SP0103,033202030001,00067,01,Non affecté,Tiré,0,,
0723011100830006301,2025T1,SP0114,072301110083,00063,01,Non affecté,Remplaçant,KAWSSARA FALL,,
0152020101730005004,2025T1,SP0102,015202010173,00050,04,Non affecté,Remplaçant,RDC,,
0512020100010000701,2025T1,SP0113,051202010001,00007,01,Non affecté,Remplaçant,BIYABOUGOU MOSSI(KIPOU SOULEYE,,
1122010600060003503,2025T1,SP0110,112201060006,00035,03,Non affecté,Remplaçant,WAOUNDE1,,
0512020200060003301,2025T1,SP0113,051202020006,00033,01,Non affecté,Remplaçant,SEOUDJI,,
0912010100130005201,2025T1,SP0104,091201010013,00052,01,Non affecté,Remplaçant,MAROUTTE,,
0331010000850006201,2025T1,SP0103,033101000085,00062,01,Non affecté,Remplaçant,NULL,,
0832020200080008701,2025T1,SP0109,083202020008,00087,01,Non affecté,Remplaçant,TOUTE LA CONCESSION,,
0712030200490001702,2025T1,SP0115,071203020049,00017,02,Non affecté,Remplaçant,TCHIKY,,
0822030200140001001,2025T1,SP0109,082203020014,00010,01,Non affecté,Remplaçant,TOUTE LA CONCESSION,,
1011010000180006901,2025T1,SP0108,101101000018,00069,01,Non affecté,Remplaçant,HILELE,,
0332020503100002001,2025T1,SP0103,033202050310,00020,01,Non affecté,Remplaçant,DAROU KHOUDOSS,,
0212040200050009301,2025T1,SP0116,021204020005,00093,01,Non affecté,Tiré,SALOULOU,,
0622020300210001201,2025T1,SP0106,062202030021,00012,01,Non affecté,Remplaçant,KEUR SAMBOYE,,
0521010000490008301,2025T1,SP0113,052101000049,00083,01,Non affecté,Remplaçant,R1,,
0412020100500002201,2025T1,SP0111,041202010050,00022,01,Non affecté,Remplaçant,DROITE,,
0123013501620004001,2025T1,SP0102,012301350162,00040,01,Non affecté,Remplaçant,MEDINA MBAO CONCORDE ( KEUR MBAYE FALL),,
0152020101660008402,2025T1,SP0102,015202010166,00084,02,Non affecté,Remplaçant,RDC GAUCHE 1 PORTE,,
1231010000060006101,2025T1,SP0105,123101000006,00061,01,Non affecté,Remplaçant,DIAMAGUENE,,
0921010000090009401,2025T1,SP0104,092101000009,00094,01,Non affecté,Remplaçant,THIAMEME,,
1422010400180006201,2025T1,SP0112,142201040018,00062,01,Non affecté,Remplaçant,SARE FODE DIALLO (SARE DEMBA NAO),,
0422020100320003101,2025T1,SP0111,042202010032,00031,01,Non affecté,Remplaçant,782147381,,
0832030200130002801,2025T1,SP0109,083203020013,00028,01,Non affecté,Remplaçant,PARE CISSE,,
0532020400180000701,2025T1,SP0113,053202040018,00007,01,Non affecté,Remplaçant,DROITE              UPT20984c62-9d86-4353-b4ca-efb15f663938,,
1122010300180002301,2025T1,SP0110,112201030018,00023,01,Non affecté,Remplaçant,AOURE,,
0611020000050011412,2025T1,SP0106,061102000005,00114,12,Non affecté,Remplaçant,KANDA FODE BAYO,,
0922030100200007101,2025T1,SP0104,092203010020,00071,01,Non affecté,Remplaçant,KEUR SALOUM DIANE,,
0421020000220003602,2025T1,SP0111,042102000022,00036,02,Non affecté,Tiré,DAROU SALAM,,
0152020101660002303,2025T1,SP0102,015202010166,00023,03,Non affecté,Remplaçant,AU REZ-DE-CHAUSSÉE,,
0911010000130016101,2025T1,SP0104,091101000013,00161,01,Non affecté,Remplaçant,DAREL,,
0822010400120004804,2025T1,SP0109,082201040012,00048,04,Non affecté,Remplaçant,NULL,,
0422010100140002301,2025T1,SP0111,042201010014,00023,01,Non affecté,Remplaçant,A GAUCHE,,
0152010101170004501,2025T1,SP0102,015201010117,00045,01,Non affecté,Remplaçant,COMOCO IV,,
1311010000040002701,2025T1,SP0107,131101000004,00027,01,Non affecté,Remplaçant,DANS LA CONCESSION,,
0832020200080006201,2025T1,SP0109,083202020008,00062,01,Non affecté,Remplaçant,TOUTE LA CONCESSION,,
1242020200180004601,2025T1,SP0105,124202020018,00046,01,Non affecté,Remplaçant,PARTOUT,,
0222010100070002003,2025T1,SP0116,022201010007,00020,03,Non affecté,Remplaçant,HABITATION A GAUCHE CHAMBRE 2,,
0133011200870007402,2025T1,SP0102,013301120087,00074,02,Non affecté,Remplaçant,ARAFAT CAMP MARCHAND,,
0123012300500000204,2025T1,SP0102,012301230050,00002,04,Non affecté,Remplaçant,PREMIÈRE ETAGE,,
021204020008N000301,2025T1,SP0116,021204020008,N0003,01,Non affecté,Remplaçant,MISSION,,
0832030200130001001,2025T1,SP0109,083203020013,00010,01,Non affecté,Remplaçant,NDIMB NDAWENE 1,,
0822010400120001201,2025T1,SP0109,082201040012,00012,01,Non affecté,Remplaçant,MBATHIOR DOLLI,,
1122010600060006601,2025T1,SP0110,112201060006,00066,01,Non affecté,Remplaçant,XXXXX Supprimer : concession non existant.,,
021204020005N000401,2025T1,SP0116,021204020005,N0004,01,Non affecté,Remplaçant,BOUNE,,
101202060009N001401,2025T1,SP0108,101202060009,N0014,01,Non affecté,Remplaçant,GOROL,,
0332020505440022801,2025T1,SP0103,033202050544,00228,01,Non affecté,Remplaçant,RAS,,
0712030200490003601,2025T1,SP0115,071203020049,00036,01,Non affecté,Remplaçant,TCHIKY,,
0331010000160006403,2025T1,SP0103,033101000016,00064,03,Non affecté,Remplaçant,MBACKE KHEWAR LOT2,,
1211010000110005201,2025T1,SP0105,121101000011,00052,01,Non affecté,Remplaçant,DIAMAGUENE CENTRE,,
0612010200210003801,2025T1,SP0106,061201020021,00038,01,Non affecté,Remplaçant,A L'ENTREE DE DE MAISON,,
0811010000030005201,2025T1,SP0109,081101000003,00052,01,Non affecté,Remplaçant,MBASSINE,,
0812010200380007601,2025T1,SP0109,081201020038,00076,01,Non affecté,Remplaçant,DAROU NAYIM,,
0123013501580007002,2025T1,SP0102,012301350158,00070,02,Non affecté,Remplaçant,1ER CHAMBRE A GAUCHE RDC,,
0331010000160010201,2025T1,SP0103,033101000016,00102,01,Non affecté,Remplaçant,MBACKE KHEWAR LOT2,,
0541010000150007001,2025T1,SP0113,054101000015,00070,01,Non affecté,Remplaçant,ESCALE1,,
0722030300070003901,2025T1,SP0114,072203030007,00039,01,Non affecté,Remplaçant,EN FACE,,
0152020200460008603,2025T1,SP0102,015202020046,00086,03,Non affecté,Remplaçant,CHAMBRE A GAUCHE A LUPTe36a1eed-c1f3-48cd-97d4-6060f4e12f97,,
1122010400050006401,2025T1,SP0110,112201040005,00064,01,Non affecté,Remplaçant,CITE FORAGE,,
1411010000160017501,2025T1,SP0112,141101000016,00175,01,Non affecté,Remplaçant,GOUDIABYA,,
1421010000040010101,2025T1,SP0112,142101000004,00101,01,Non affecté,Remplaçant,NULL,,
0412010200290009201,2025T1,SP0111,041201020029,00092,01,Non affecté,Tiré,UPT48d63c2f-42b9-4fe6-8cbf-ee7cee3dc353,,
0731020000020008002,2025T1,SP0114,073102000002,00080,02,Non affecté,Remplaçant,KEUR MASS,,
0312010100170004402,2025T1,SP0103,031201010017,00044,02,Non affecté,Tiré,À GAUCHE,,
0422010100140003702,2025T1,SP0111,042201010014,00037,02,Non affecté,Remplaçant,UNE PARTIE,,
0731020000020004201,2025T1,SP0114,073102000002,00042,01,Non affecté,Remplaçant,KEUR MASS,,
1022030300010003504,2025T1,SP0108,102203030001,00035,04,Non affecté,Remplaçant,MEDINA SELLOU,,
0831010000440025901,2025T1,SP0109,083101000044,00259,01,Non affecté,Remplaçant,SANTHIABA CENTRE,,
0622020100300003501,2025T1,SP0106,062202010030,00035,01,Non affecté,Remplaçant,KEUR YOYA,,
1412030100240002201,2025T1,SP0112,141203010024,00022,01,Non affecté,Remplaçant,A DROITE,,
0812020400130003001,2025T1,SP0109,081202040013,00030,01,Non affecté,Remplaçant,MBEDIENE,,
0622010200480008901,2025T1,SP0106,062201020048,00089,01,Non affecté,Remplaçant,KEUR AYIB GUEYE     UPTb49c12f1-2a1c-4bad-aa54-ad7dccbe96b6,,
0922010600010011701,2025T1,SP0104,092201060001,00117,01,Non affecté,Remplaçant,DIAMAGUENE,,
1422010100160012102,2025T1,SP0112,142201010016,00121,02,Non affecté,Remplaçant,SINTHIOU MBAYE SARR,,
0722030300070008501,2025T1,SP0114,072203030007,00085,01,Non affecté,Remplaçant,EN FACE,,
0521010001400006302,2025T1,SP0113,052101000140,00063,02,Non affecté,Remplaçant,PLATEAU LOTA1,,
0123012700170001801,2025T1,SP0102,012301270017,00018,01,Non affecté,Remplaçant,A GAUCHE,,
0732030200110006801,2025T1,SP0114,073203020011,00068,01,Non affecté,Remplaçant,NULL,,
0113012200030001606,2025T1,SP0101,011301220003,00016,06,Non affecté,Remplaçant,CITE BISSAP         UPTb1464a36-c5d2-482a-8caf-cdfea52d13dd,,
0822030200140002703,2025T1,SP0109,082203020014,00027,03,Non affecté,Remplaçant,À DROITE,,
1221010000040005001,2025T1,SP0105,122101000004,00050,01,Non affecté,Remplaçant,ESCALE GADGA,,
0231010001800004204,2025T1,SP0116,023101000180,00042,04,Non affecté,Remplaçant,TILENE,,
1421010000040003101,2025T1,SP0112,142101000004,00031,01,Non affecté,Remplaçant,EN FACE,,
0133011200850007501,2025T1,SP0102,013301120085,00075,01,Non affecté,Remplaçant,1,,
0212040200050008003,2025T1,SP0116,021204020005,00080,03,Non affecté,Tiré,BÂT 2,,
0811010000030017301,2025T1,SP0109,081101000003,00173,01,Non affecté,Remplaçant,MBASSINE,,
0912010200160003401,2025T1,SP0104,091201020016,00034,01,Non affecté,Remplaçant,SEUL,,
0431010001640010501,2025T1,SP0111,043101000164,00105,01,Non affecté,Remplaçant,DROITE              UPT87ef8f22-03b4-45d6-b4f7-c0360c967769,,
0521010000200007301,2025T1,SP0113,052101000020,00073,01,Non affecté,Remplaçant,SARE GUILEL         UPT0c76d194-f2a9-47ac-98fb-bed708fe2e86,,
0113014400580005201,2025T1,SP0101,011301440058,00052,01,Non affecté,Remplaçant,RDC                 UPT4f127a0e-f061-4e24-9c65-7632e579a228,,
0542010300220005201,2025T1,SP0113,054201030022,00052,01,Non affecté,Remplaçant,GALLE,,
0212040200050008601,2025T1,SP0116,021204020005,00086,01,Non affecté,Tiré,SALOULOU,,
1222020200380003001,2025T1,SP0105,122202020038,00030,01,Non affecté,Remplaçant,NGOUYE,,
0521010001150010401,2025T1,SP0113,052101000115,00104,01,Non affecté,Remplaçant,ABATTOIRS COMPLÉMENTAIRE,,
0152010101170008302,2025T1,SP0102,015201010117,00083,02,Non affecté,Remplaçant,1ERE ETAGE,,
0812030400130002302,2025T1,SP0109,081203040013,00023,02,Non affecté,Remplaçant,AU FOND             UPT5e2cf53e-33b2-4688-b19f-6c5745e0b4ec,,
0723012101570002302,2025T1,SP0114,072301210157,00023,02,Non affecté,Remplaçant,EN FACE,,
1132010100080003502,2025T1,SP0110,113201010008,00035,02,Non affecté,Tiré,GUIRDE LATHIE,,
1221010000040002601,2025T1,SP0105,122101000004,00026,01,Non affecté,Remplaçant,GADGA,,
